name,required,type,default,fallback
name,TRUE,character,,
display_name,FALSE,character,,name
description,FALSE,character,,display_name
state,FALSE,character,,
destination,FALSE,character,,
formula,TRUE,character,,
type,FALSE,character,outcome,
