name,required,type,default,fallback
name,TRUE,character,,
display_name,FALSE,character,,
description,FALSE,character,,
formula,TRUE,character,,
strategy,FALSE,character,,
group,FALSE,character,,
source,FALSE,character,,
sampling,FALSE,character,,
